number of iterations required: 161
---utility for each state (row, column)---
(8, 69) - utility: 68.744
(8, 70) - utility: 70.035
(8, 71) - utility: 70.118
(8, 72) - utility: 71.372
(8, 73) - utility: 74.065
(8, 74) - utility: 74.027
(8, 76) - utility: 71.657
(8, 77) - utility: 71.778
(8, 78) - utility: 71.665
(8, 79) - utility: 71.414
(8, 80) - utility: 69.236
(8, 81) - utility: 71.124
(8, 82) - utility: 72.181
(8, 84) - utility: 69.523
(8, 85) - utility: 71.980
(8, 86) - utility: 71.033
(8, 89) - utility: 69.927
(8, 90) - utility: 70.110
(8, 91) - utility: 70.978
(8, 92) - utility: 69.660
(8, 94) - utility: 64.945
(8, 95) - utility: 65.746
(8, 96) - utility: 64.695
(8, 97) - utility: 63.396
(8, 98) - utility: 63.190
(8, 99) - utility: 65.111
(9, 0) - utility: 63.970
(9, 1) - utility: 66.550
(9, 2) - utility: 64.114
(9, 3) - utility: 64.698
(9, 4) - utility: 65.761
(9, 5) - utility: 66.789
(9, 7) - utility: 70.917
(9, 8) - utility: 72.118
(9, 10) - utility: 72.014
(9, 11) - utility: 73.284
(9, 12) - utility: 75.581
(9, 13) - utility: 75.792
(9, 14) - utility: 76.062
(9, 15) - utility: 76.808
(9, 16) - utility: 75.716
(9, 17) - utility: 75.391
(9, 18) - utility: 75.117
(9, 19) - utility: 73.881
(9, 20) - utility: 72.657
(9, 21) - utility: 72.950
(9, 22) - utility: 70.658
(9, 23) - utility: 71.377
(9, 24) - utility: 70.754
(9, 25) - utility: 71.463
(9, 26) - utility: 70.003
(9, 27) - utility: 70.293
(9, 28) - utility: 70.316
(9, 29) - utility: 67.894
(9, 30) - utility: 68.277
(9, 31) - utility: 68.082
(9, 32) - utility: 66.064
(9, 33) - utility: 66.262
(9, 34) - utility: 64.468
(9, 35) - utility: 66.608
(9, 36) - utility: 68.726
(9, 37) - utility: 70.885
(9, 38) - utility: 73.134
(9, 39) - utility: 74.494
(9, 40) - utility: 76.043
(9, 41) - utility: 76.268
(9, 42) - utility: 75.220
(9, 45) - utility: 72.406
(9, 46) - utility: 72.337
(9, 47) - utility: 69.931
(9, 49) - utility: 69.220
(9, 50) - utility: 69.049
(9, 51) - utility: 69.042
(9, 54) - utility: 70.479
(9, 56) - utility: 72.572
(9, 57) - utility: 73.396
(9, 58) - utility: 72.081
(9, 59) - utility: 69.676
(9, 60) - utility: 68.268
(9, 61) - utility: 67.208
(9, 62) - utility: 66.371
(9, 63) - utility: 64.311
(9, 65) - utility: 69.950
(9, 66) - utility: 68.925
