number of iterations required: 900
---utility for each state (row, column)---
(6, 52) - utility: 73.778
(6, 53) - utility: 71.073
(6, 54) - utility: 67.924
(6, 55) - utility: 65.227
(6, 56) - utility: 63.733
(6, 57) - utility: 61.375
(6, 59) - utility: 53.467
(6, 60) - utility: 52.250
(6, 62) - utility: 52.207
(6, 63) - utility: 52.167
(6, 65) - utility: 46.568
(6, 66) - utility: 47.016
(6, 67) - utility: 46.189
(6, 69) - utility: 47.554
(6, 70) - utility: 52.059
(6, 71) - utility: 55.761
(6, 73) - utility: 75.055
(6, 74) - utility: 83.906
(6, 75) - utility: 81.236
(6, 76) - utility: 76.258
(6, 77) - utility: 79.389
(6, 79) - utility: 80.847
(6, 80) - utility: 78.697
(6, 81) - utility: 71.662
(6, 82) - utility: 69.916
(6, 83) - utility: 65.592
(6, 84) - utility: 68.346
(6, 85) - utility: 67.904
(6, 87) - utility: 58.006
(6, 88) - utility: 60.834
(6, 89) - utility: 59.800
(6, 90) - utility: 65.212
(6, 91) - utility: 58.751
(6, 92) - utility: 58.632
(6, 93) - utility: 57.641
(6, 94) - utility: 62.879
(6, 95) - utility: 67.631
(6, 96) - utility: 67.019
(6, 99) - utility: 58.568
(7, 1) - utility: 38.674
(7, 3) - utility: 32.951
(7, 4) - utility: 30.674
(7, 5) - utility: 31.900
(7, 6) - utility: 31.838
(7, 8) - utility: 38.102
(7, 9) - utility: 38.170
(7, 10) - utility: 36.547
(7, 11) - utility: 36.709
(7, 12) - utility: 42.455
(7, 14) - utility: 51.198
(7, 16) - utility: 51.354
(7, 17) - utility: 49.944
(7, 18) - utility: 50.412
(7, 19) - utility: 48.605
(7, 20) - utility: 52.115
(7, 21) - utility: 61.295
(7, 23) - utility: 66.820
(7, 24) - utility: 65.984
(7, 25) - utility: 66.845
(7, 26) - utility: 64.764
(7, 27) - utility: 65.775
(7, 28) - utility: 65.006
(7, 29) - utility: 62.484
(7, 30) - utility: 62.709
(7, 32) - utility: 64.037
(7, 33) - utility: 62.816
(7, 35) - utility: 56.420
(7, 36) - utility: 56.113
(7, 37) - utility: 55.900
(7, 38) - utility: 55.008
(7, 39) - utility: 54.809
(7, 40) - utility: 54.989
(7, 42) - utility: 50.520
(7, 43) - utility: 51.012
(7, 44) - utility: 50.501
(7, 45) - utility: 49.699
(7, 49) - utility: 59.486
(7, 50) - utility: 58.391
(7, 51) - utility: 59.216
(7, 53) - utility: 57.818
(7, 54) - utility: 58.543
(7, 55) - utility: 57.826
(7, 56) - utility: 57.011
(7, 57) - utility: 56.148
(7, 58) - utility: 53.727
(7, 59) - utility: 52.701
(7, 60) - utility: 51.728
(7, 61) - utility: 51.930
(7, 62) - utility: 51.153
(7, 64) - utility: 46.308
(7, 65) - utility: 47.150
(7, 66) - utility: 46.507
(7, 67) - utility: 44.641
(7, 68) - utility: 45.150
(7, 69) - utility: 47.642
(7, 70) - utility: 54.079
(7, 71) - utility: 56.978
(7, 72) - utility: 58.496
(7, 73) - utility: 74.947
(7, 74) - utility: 86.457
(7, 75) - utility: 83.813
(7, 77) - utility: 79.520
(7, 78) - utility: 83.112
(7, 79) - utility: 82.187
(7, 80) - utility: 80.352
(7, 81) - utility: 73.168
(7, 82) - utility: 71.172
(7, 83) - utility: 64.274
(7, 85) - utility: 61.187
(7, 86) - utility: 62.379
(7, 87) - utility: 59.648
(7, 88) - utility: 63.348
(7, 90) - utility: 67.570
(7, 92) - utility: 59.531
(7, 94) - utility: 63.784
(7, 95) - utility: 69.207
(7, 96) - utility: 69.051
(7, 97) - utility: 67.575
(7, 98) - utility: 64.495
(7, 99) - utility: 60.570
(8, 1) - utility: 33.958
(8, 3) - utility: 33.703
(8, 5) - utility: 32.514
(8, 6) - utility: 30.969
(8, 7) - utility: 31.458
(8, 8) - utility: 32.384
(8, 9) - utility: 33.138
(8, 10) - utility: 37.645
(8, 11) - utility: 36.526
(8, 12) - utility: 44.972
(8, 13) - utility: 45.885
(8, 14) - utility: 45.928
(8, 15) - utility: 46.124
(8, 16) - utility: 42.895
(8, 17) - utility: 44.107
(8, 18) - utility: 44.465
(8, 21) - utility: 63.267
(8, 22) - utility: 65.258
(8, 23) - utility: 67.819
(8, 24) - utility: 66.656
(8, 25) - utility: 66.795
(8, 27) - utility: 65.566
(8, 28) - utility: 66.097
(8, 29) - utility: 64.193
(8, 30) - utility: 63.580
(8, 31) - utility: 62.220
(8, 32) - utility: 61.443
(8, 33) - utility: 60.614
(8, 34) - utility: 58.386
(8, 35) - utility: 57.222
(8, 37) - utility: 56.742
(8, 38) - utility: 56.879
(8, 39) - utility: 55.504
(8, 40) - utility: 51.334
(8, 41) - utility: 51.485
(8, 42) - utility: 51.147
(8, 43) - utility: 50.520
(8, 44) - utility: 49.912
(8, 45) - utility: 48.712
(8, 46) - utility: 47.796
(8, 47) - utility: 46.821
(8, 48) - utility: 43.104
(8, 49) - utility: 44.148
(8, 50) - utility: 46.145
(8, 51) - utility: 45.995
(8, 52) - utility: 45.882
(8, 53) - utility: 50.810
(8, 54) - utility: 50.773
(8, 55) - utility: 50.940
(8, 56) - utility: 49.935
(8, 57) - utility: 50.095
(8, 58) - utility: 49.890
(8, 59) - utility: 49.458
(8, 60) - utility: 49.052
(8, 61) - utility: 48.695
(8, 62) - utility: 49.460
(8, 63) - utility: 48.759
(8, 64) - utility: 46.838
(8, 65) - utility: 49.194
(8, 66) - utility: 47.298
(8, 67) - utility: 46.171
(8, 68) - utility: 45.523
(8, 69) - utility: 47.802
(8, 70) - utility: 55.255
(8, 71) - utility: 59.133
(8, 72) - utility: 58.631
(8, 73) - utility: 75.249
(8, 74) - utility: 89.368
(8, 76) - utility: 80.829
(8, 77) - utility: 81.338
(8, 78) - utility: 85.989
(8, 79) - utility: 84.602
(8, 80) - utility: 82.085
(8, 81) - utility: 73.495
(8, 82) - utility: 72.734
(8, 84) - utility: 64.291
(8, 85) - utility: 61.861
(8, 86) - utility: 63.708
(8, 89) - utility: 63.307
(8, 90) - utility: 66.654
(8, 91) - utility: 66.834
(8, 92) - utility: 60.334
(8, 94) - utility: 63.962
(8, 95) - utility: 70.828
(8, 96) - utility: 70.139
(8, 97) - utility: 68.680
(8, 98) - utility: 65.466
(8, 99) - utility: 60.895
(9, 0) - utility: 31.071
(9, 1) - utility: 33.076
(9, 2) - utility: 31.750
(9, 3) - utility: 34.179
(9, 4) - utility: 34.389
(9, 5) - utility: 33.169
(9, 7) - utility: 31.851
(9, 8) - utility: 32.865
(9, 10) - utility: 38.874
(9, 11) - utility: 35.842
(9, 12) - utility: 46.532
(9, 13) - utility: 46.624
(9, 14) - utility: 46.540
(9, 15) - utility: 45.873
(9, 16) - utility: 42.933
(9, 17) - utility: 43.509
(9, 18) - utility: 43.808
(9, 19) - utility: 48.939
(9, 20) - utility: 59.420
(9, 21) - utility: 62.555
(9, 22) - utility: 66.062
(9, 23) - utility: 67.879
(9, 24) - utility: 68.597
(9, 25) - utility: 68.918
(9, 26) - utility: 66.102
(9, 27) - utility: 66.378
(9, 28) - utility: 67.287
(9, 29) - utility: 64.893
(9, 30) - utility: 63.214
(9, 31) - utility: 61.670
(9, 32) - utility: 59.246
(9, 33) - utility: 58.311
(9, 34) - utility: 56.562
(9, 35) - utility: 54.897
(9, 36) - utility: 54.963
(9, 37) - utility: 57.492
(9, 38) - utility: 57.837
(9, 39) - utility: 56.606
(9, 40) - utility: 51.493
(9, 41) - utility: 47.797
(9, 42) - utility: 44.137
(9, 45) - utility: 43.454
(9, 46) - utility: 45.700
(9, 47) - utility: 44.158
(9, 49) - utility: 44.637
(9, 50) - utility: 47.047
(9, 51) - utility: 46.326
(9, 54) - utility: 48.241
(9, 56) - utility: 49.968
(9, 57) - utility: 50.824
(9, 58) - utility: 49.863
(9, 59) - utility: 48.155
(9, 60) - utility: 48.487
(9, 61) - utility: 47.927
(9, 62) - utility: 50.319
(9, 63) - utility: 48.479
(9, 65) - utility: 49.085
(9, 66) - utility: 47.802
(9, 67) - utility: 46.745
(9, 68) - utility: 45.716
(9, 69) - utility: 47.809
(9, 70) - utility: 55.137
(9, 71) - utility: 60.478
(9, 72) - utility: 58.494
(9, 74) - utility: 90.999
(9, 75) - utility: 91.760
(9, 76) - utility: 81.836
(9, 77) - utility: 80.585
(9, 78) - utility: 87.881
(9, 79) - utility: 84.549
(9, 82) - utility: 73.608
(9, 83) - utility: 69.208
(9, 84) - utility: 66.669
(9, 85) - utility: 63.371
(9, 86) - utility: 66.006
(9, 87) - utility: 62.240
(9, 88) - utility: 65.168
(9, 89) - utility: 63.739
(9, 90) - utility: 69.154
(9, 91) - utility: 67.250
(9, 93) - utility: 70.810
(9, 95) - utility: 72.718
(9, 96) - utility: 72.383
(9, 97) - utility: 71.029
(9, 98) - utility: 67.725
(9, 99) - utility: 61.143
(10, 0) - utility: 32.476
(10, 1) - utility: 32.648
(10, 2) - utility: 32.945
(10, 3) - utility: 34.938
(10, 4) - utility: 35.053
(10, 5) - utility: 33.485
(10, 6) - utility: 33.106
(10, 7) - utility: 32.176
(10, 8) - utility: 32.144
(10, 9) - utility: 35.764
(10, 10) - utility: 39.794
(10, 12) - utility: 47.182
(10, 13) - utility: 47.285
(10, 14) - utility: 48.463
(10, 15) - utility: 46.787
(10, 16) - utility: 43.086
(10, 17) - utility: 44.143
(10, 20) - utility: 61.139
(10, 21) - utility: 62.036
(10, 22) - utility: 68.370
(10, 23) - utility: 68.924
(10, 24) - utility: 69.564
(10, 26) - utility: 50.655
(10, 27) - utility: 65.875
(10, 29) - utility: 63.102
(10, 30) - utility: 56.210
(10, 31) - utility: 55.402
(10, 32) - utility: 53.743
(10, 33) - utility: 54.831
(10, 36) - utility: 56.612
(10, 37) - utility: 59.754
(10, 38) - utility: 58.816
(10, 39) - utility: 53.976
(10, 40) - utility: 5.852
(10, 41) - utility: 9.277
(10, 42) - utility: 12.707
(10, 44) - utility: 33.029
(10, 45) - utility: 42.992
(10, 46) - utility: 45.488
(10, 47) - utility: 43.727
(10, 48) - utility: 46.051
(10, 49) - utility: 44.950
(10, 50) - utility: 48.083
(10, 51) - utility: 45.976
(10, 52) - utility: 47.083
(10, 53) - utility: 49.186
(10, 54) - utility: 48.901
(10, 55) - utility: 51.356
(10, 56) - utility: 50.543
(10, 57) - utility: 50.430
(10, 58) - utility: 47.593
(10, 60) - utility: 49.262
(10, 62) - utility: 51.534
(10, 64) - utility: 42.820
(10, 65) - utility: 43.835
(10, 66) - utility: 43.276
(10, 67) - utility: 43.991
(10, 68) - utility: 42.706
(10, 70) - utility: 56.132
(10, 71) - utility: 62.208
(10, 74) - utility: 92.104
(10, 75) - utility: 92.992
(10, 78) - utility: 89.056
(10, 79) - utility: 86.463
(10, 81) - utility: 77.229
(10, 82) - utility: 75.139
(10, 83) - utility: 68.587
(10, 84) - utility: 65.569
(10, 85) - utility: 64.692
(10, 86) - utility: 67.690
(10, 88) - utility: 66.586
(10, 90) - utility: 69.680
(10, 91) - utility: 67.912
(10, 92) - utility: 67.515
(10, 93) - utility: 71.754
(10, 94) - utility: 73.142
(10, 95) - utility: 72.415
(10, 96) - utility: 72.162
(10, 97) - utility: 70.127
